"","year","state","ava","aal","funded_ratio"
"91",2002,"Texas",124378051000,130064225451,0.9562817951571
"92",2002,"Utah",12105500000,12831293000,0.943435708310924
"93",2002,"Vermont",2159744000,2324331000,0.929189517327782
"94",2002,"Virginia",3.8957e+10,3.8265e+10,1.01808441134196
"95",2002,"Washington",1.8666e+10,1.1698e+10,1.59565737732946
"96",2002,"West Virginia",3687218000,9141468000,0.403350752855012
"97",2002,"Wisconsin",57861900000,59618800000,0.970531107637188
"98",2002,"Wyoming",4352423802,4718618000,0.922393760630761
"99",2003,"Alabama",26422970000,28482014000,0.927707219018992
"100",2003,"Alaska",7302458000,12166150000,0.600227516510975
"101",2003,"Arizona",28165175582,28383910763,0.992293691210264
"102",2003,"Arkansas",1.2529e+10,1.4119e+10,0.887385792194915
"103",2003,"California",308692300000,345653757000,0.893067972641767
"104",2003,"Colorado",1907786000,2379229000,0.801850515440086
"105",2003,"Connecticut",19593287000,29977186404,0.653606603900144
"106",2003,"Delaware",5125442000,4794944000,1.06892635242455
"107",2003,"Florida",101906723000,89251331000,1.14179499463151
"108",2003,"Georgia",54801397000,54276239000,1.00967565199203
"109",2003,"Hawaii",9073960000,11952057000,0.759196513202706
"110",2003,"Idaho",6297800000,7578800000,0.830975880086557
"111",2003,"Illinois",57871371818,100518547490,0.575728293564501
"112",2003,"Indiana",15848316927,23781912281,0.666402126950138
"113",2003,"Iowa",17375666585,19416484598,0.894892507307414
"114",2003,"Kansas",9784862000,14439546000,0.677643327567224
"115",2003,"Kentucky",27354615554,29389349905,0.93076626881584
"116",2003,"Louisiana",22021563000,31514777340,0.698769430049224
"117",2003,"Maine",7787205499,10415579801,0.747649737007665
"118",2003,"Maryland",30870684000,33235259813,0.928853397677514
"119",2003,"Massachusetts",28709520000,40442661000,0.709882072299842
"120",2003,"Michigan",53626500000,62197847000,0.862192223470372
"121",2003,"Minnesota",41020488000,42854201000,0.95721042611435
"122",2003,"Mississippi",16979457000,21485838000,0.79026273026912
"123",2003,"Missouri",31750906234,38549801766,0.823633450224471
"124",2003,"Montana",5661034000,6465574500,0.875565504658557
"125",2003,"Nebraska",4952902870,5464572876,0.906365965353447
"126",2003,"Nevada",15882968000,23540081000,0.6747201931888
"127",2003,"New Hampshire",3500037000,4669192000,0.749602286648311
"128",2003,"New Jersey",80243196778,85966027788,0.933429156176519
"129",2003,"New Mexico",16489280804,18482545484,0.892154212106469
"130",2003,"New York",178392567590,179493729000,0.993865181718967
"131",2003,"North Carolina",54620297430,53196407198,1.02676666164127
"132",2003,"North Dakota",2604900000,2879130500,0.904752320188335
"133",2003,"Ohio",113628215000,142142831000,0.799394624411273
"134",2003,"Oklahoma",13183738771,20546763031,0.641645535654886
"135",2003,"Oregon",35446900000,44078100000,0.804183937147926
"136",2003,"Pennsylvania",81387594450,81578795400,0.997656242053312
"137",2003,"Rhode Island",6581201103,9626230375,0.683673758742762
"138",2003,"South Carolina",22709305000,27143780000,0.836630159837723
"139",2003,"South Dakota",4685800000,4818943695,0.972370771806663
"140",2003,"Tennessee",25704781000,26075220000,0.985793446805051
"141",2003,"Texas",129782143000,138733625734,0.935477194612047
"142",2003,"Utah",12999980000,13507895000,0.962398656489409
"143",2003,"Vermont",2243470000,2410826000,0.930581468758011
"144",2003,"Virginia",3.9243e+10,4.0698e+10,0.964248857437712
"145",2003,"Washington",19077700000,1.3265e+10,1.43819826611383
"146",2003,"West Virginia",3891179000,9934835000,0.391670218981996
"147",2003,"Wisconsin",62685300000,63211700000,0.991672427730942
"148",2003,"Wyoming",4657897625,5077443000,0.917370736608959
"149",2004,"Alabama",27267954000,30432668000,0.896009314727187
"150",2004,"Alaska",7357369000,12835107000,0.573222256736933
"151",2004,"Arizona",28267330319,30469107492,0.927737391927935
"152",2004,"Arkansas",1.2862e+10,1.5055e+10,0.854334108269678
"153",2004,"California",325286100000,367897183000,0.884176653236293
"154",2004,"Colorado",1990652000,2576988000,0.772472359203846
"155",2004,"Connecticut",19519418000,31592402117,0.61785165710766
"156",2004,"Delaware",5387560000,5229927000,1.03014057366384
"157",2004,"Florida",106707426000,95185433000,1.12104786033804
"158",2004,"Georgia",57415345000,57336679000,1.00137200133269
"159",2004,"Hawaii",8797133000,12271331000,0.716884989900444
"160",2004,"Idaho",7420200000,8154800000,0.909918085054201
"161",2004,"Illinois",72437208910,107893365850,0.67137778434595
"162",2004,"Indiana",16658370627,25042279052,0.665209847410816
"163",2004,"Iowa",18224530580,20639652161,0.882986323501927
"164",2004,"Kansas",10853462000,15714092000,0.69068336878771
"165",2004,"Kentucky",27298321506,31648106815,0.862557803712342
"166",2004,"Louisiana",21391555000,33148002238,0.645334667423103
"167",2004,"Maine",8273559503,10977271798,0.75369906614751
"168",2004,"Maryland",31670070000,34345756531,0.922095571585824
"169",2004,"Massachusetts",33005403000,43515112000,0.758481398370295
"170",2004,"Michigan",53664400000,64485795000,0.832189476767713
"171",2004,"Minnesota",41629688000,45048802000,0.924101999427199
"172",2004,"Mississippi",17103285000,22847260000,0.748592391385225
"173",2004,"Missouri",33597589965,41098570683,0.8174880392835
"174",2004,"Montana",5648687000,6873285000,0.821832209780331
"175",2004,"Nebraska",5118011165,5868266970,0.872150362477459
"176",2004,"Nevada",16830310500,25793773000,0.652495100270907
"177",2004,"New Hampshire",3575641000,5029877000,0.710880405226609
"178",2004,"New Jersey",80444711277,92424247181,0.870385355906229
"179",2004,"New Mexico",16755268071,19877324296,0.842933778283817
"180",2004,"New York",189431088270,188796610000,1.00336064439928
"181",2004,"North Carolina",57481887710,56283357766,1.02129457075008
"182",2004,"North Dakota",2642100000,3073257600,0.859706651339608
"183",2004,"Ohio",120592798000,150267304000,0.802521871291442
"184",2004,"Oklahoma",13473041797,22922040807,0.587776712834643
"185",2004,"Oregon",42753300000,47398600000,0.901994995632782
"186",2004,"Pennsylvania",80068757000,85167706700,0.940130480230484
"187",2004,"Rhode Island",6422877071,10272519301,0.625248479248392
"188",2004,"South Carolina",23479494000,28962436000,0.810687816453008
"189",2004,"South Dakota",4937500000,5051728157,0.977388300904173
"190",2004,"Tennessee",26727977500,27096157000,0.986412113717824
"191",2004,"Texas",131874890000,143812305334,0.916993088273805
"192",2004,"Utah",13618312000,14545786000,0.936237615485337
"193",2004,"Vermont",2366192000,2532296000,0.934405772468937
"194",2004,"Virginia",3.9691e+10,4.3958e+10,0.902930069611902
"195",2004,"Washington",20146500000,1.4927e+10,1.34966838614591
"196",2004,"West Virginia",4523135000,10310939000,0.438673432167526
"197",2004,"Wisconsin",66209400000,66622300000,0.993802375480883
"198",2004,"Wyoming",4704299324,4902322000,0.959606350623235
"199",2005,"Alabama",28183565000,33662314000,0.837243838911371
"200",2005,"Alaska",7299055000,13585747000,0.537258275161462
"201",2005,"Arizona",28568234209,33343962085,0.856773833180779
"202",2005,"Arkansas",1.3401e+10,1.6296e+10,0.822349042709867
"203",2005,"California",346646900000,389746384000,0.889416590456424
"204",2005,"Colorado",34079860000,46528340000,0.732453812020803
"205",2005,"Connecticut",20048677000,33544296661,0.597677667909175
"206",2005,"Delaware",5660057000,5572719500,1.01567233017919
"207",2005,"Florida",111539878000,103925498000,1.07326767873655
"208",2005,"Georgia",59971367000,61323987000,0.977943051876259
"209",2005,"Hawaii",8914839000,12985989000,0.686496731207766
"210",2005,"Idaho",8270100000,8778700000,0.942064314761867
"211",2005,"Illinois",77628044285,116544658490,0.666079812586699
"212",2005,"Indiana",17537236476,27123215803,0.646576593401593
"213",2005,"Iowa",19318694133,21840730422,0.884526009878334
"214",2005,"Kansas",10971427000,16491762000,0.66526711942605
"215",2005,"Kentucky",27094379408,34333713121,0.789147952407976
"216",2005,"Louisiana",22948378000,34616931803,0.662923511840851
"217",2005,"Maine",8888156289,11629785117,0.764257997854803
"218",2005,"Maryland",32657202000,36976954222,0.883177175814283
"219",2005,"Massachusetts",33894349000,45742013000,0.740989448802789
"220",2005,"Michigan",53134100000,67215461000,0.790504137135949
"221",2005,"Minnesota",42493550000,47325641000,0.897896977243266
"222",2005,"Mississippi",17180705000,23727098000,0.724096347560077
"223",2005,"Missouri",35898189295,43640704285,0.82258501284863
"224",2005,"Montana",5802710000,7246998000,0.800705340335405
"225",2005,"Nebraska",5335197409,6234657830,0.855732191641382
"226",2005,"Nevada",17886538620,28473274000,0.628186931365884
"227",2005,"New Hampshire",3610800000,5991026000,0.60270144045444
"228",2005,"New Jersey",81280670023,99946906033,0.813238480800628
"229",2005,"New Mexico",17454984609,21494568775,0.812064889122206
"230",2005,"New York",197819545690,194987100000,1.01452632348499
"231",2005,"North Carolina",60760806470,60090856979,1.01114894219655
"232",2005,"North Dakota",2705800000,3326382100,0.81343631568965
"233",2005,"Ohio",126569570000,159114132000,0.795464038354557
"234",2005,"Oklahoma",13827198963,23439391922,0.589912870138151
"235",2005,"Oregon",45581100000,4.9294e+10,0.924678459853126
"236",2005,"Pennsylvania",79193451648,91136018200,0.868958872815885
"237",2005,"Rhode Island",6331333431,10779929451,0.587326054384584
"238",2005,"South Carolina",24400116000,33391401000,0.730730525502659
"239",2005,"South Dakota",5.381e+09,5571842384,0.965748782745898
